bpm,rmssd,cdf(rmssd),root,I(rmssd)
85.869,106.606,0.979,7,9.387
88.246,172.252,1.0,0,18.005
81.973,147.026,0.999,7,14.029
90.756,140.535,0.999,0,13.14
129.406,40.825,0.525,0,6.385
122.65,58.226,0.721,7,6.63
81.203,142.997,0.999,7,13.471
83.818,259.334,1.0,0,38.105
76.116,226.122,1.0,0,29.274
90.377,75.194,0.864,7,7.25
83.896,192.035,1.0,0,21.704
84.01,131.211,0.997,0,11.959
88.098,195.64,1.0,7,22.433
87.343,114.392,0.989,0,10.116
81.169,71.901,0.841,6,7.1
80.515,109.318,0.983,0,9.632
107.923,58.542,0.725,9,6.638
110.27,120.732,0.993,7,10.767
96.991,153.795,1.0,0,15.015
80.687,127.112,0.996,6,11.476
96.552,190.131,1.0,0,21.326
83.829,103.678,0.975,6,9.133
86.715,144.423,0.999,0,13.666
101.847,115.887,0.99,6,10.265
117.711,111.623,0.986,0,9.847
105.503,158.615,1.0,0,15.753
110.729,209.162,1.0,7,25.318
93.148,176.958,1.0,7,18.839
86.852,112.765,0.987,7,9.957
73.72,105.649,0.978,7,9.303
86.499,82.787,0.907,0,7.649
90.909,134.847,0.998,7,12.406
88.035,209.441,1.0,7,25.38
94.131,120.917,0.993,0,10.787
88.955,246.392,1.0,7,34.493
88.551,148.635,1.0,0,14.258
90.35,148.147,0.999,0,14.188
83.123,136.281,0.998,9,12.587
124.227,249.27,1.0,7,35.277
129.925,43.544,0.558,7,6.397
92.449,169.679,1.0,0,17.562
90.0,117.139,0.991,0,10.392
84.706,128.558,0.997,9,11.644
90.329,238.714,1.0,2,32.453
88.889,65.056,0.786,11,6.835
79.153,155.915,1.0,7,15.336
98.51,132.246,0.998,7,12.085
94.286,85.717,0.921,7,7.823
80.597,153.481,1.0,0,14.968
88.053,73.807,0.854,6,7.185
102.808,158.016,1.0,0,15.66
104.759,196.345,1.0,9,22.578
117.164,35.063,0.456,0,6.391
89.022,78.753,0.886,7,7.427
90.231,98.209,0.963,7,8.69
86.056,114.945,0.989,0,10.17
80.148,137.521,0.999,0,12.746
72.514,150.086,1.0,6,14.467
89.844,161.243,1.0,0,16.168
87.915,149.667,1.0,7,14.407
94.289,146.716,0.999,7,13.985
82.129,222.222,1.0,0,28.331
105.226,137.783,0.999,6,12.78
88.318,237.006,1.0,0,32.01
101.319,155.929,1.0,6,15.338
97.48,223.303,1.0,0,28.59
88.36,142.881,0.999,9,13.455
92.111,111.146,0.985,11,9.802
79.0,145.514,0.999,0,13.817
79.558,183.167,1.0,7,19.983
86.667,103.603,0.974,0,9.127
85.168,109.667,0.984,7,9.664
78.976,136.227,0.998,0,12.58
113.343,76.834,0.874,0,7.33
115.838,102.292,0.972,7,9.017
96.97,142.042,0.999,0,13.342
91.396,82.101,0.904,9,7.609
83.721,60.921,0.748,7,6.704
80.798,106.669,0.979,9,9.393
80.899,143.313,0.999,7,13.514
93.608,108.283,0.982,0,9.537
87.172,131.633,0.997,6,12.01
94.737,157.948,1.0,0,15.649
98.75,132.323,0.998,7,12.094
104.449,112.629,0.987,0,9.944
93.338,159.856,1.0,7,15.948
85.987,209.455,1.0,0,25.383
77.81,128.602,0.997,0,11.649
93.075,157.55,1.0,6,15.587
86.135,158.548,1.0,0,15.742
98.063,208.364,1.0,0,25.141
89.733,254.722,1.0,7,36.793
100.998,190.022,1.0,0,21.304
101.155,182.701,1.0,7,19.895
81.844,154.533,1.0,0,15.126
90.054,143.645,0.999,7,13.559
89.525,123.416,0.995,0,11.059
83.591,106.388,0.979,0,9.368
92.559,213.745,1.0,6,26.35
75.524,151.619,1.0,0,14.691
136.063,28.392,0.378,6,6.451
121.031,159.775,1.0,0,15.935
91.47,255.208,1.0,0,36.93
89.776,177.889,1.0,7,19.007
91.371,164.746,1.0,7,16.736
85.516,109.649,0.984,9,9.662
88.223,198.152,1.0,11,22.951
99.425,195.42,1.0,0,22.388
78.96,105.592,0.978,6,9.298
109.605,145.162,0.999,0,13.768
106.629,95.826,0.957,0,8.509
108.603,239.927,1.0,7,32.77
87.449,151.898,1.0,0,14.732
92.559,207.358,1.0,9,24.919
80.119,263.461,1.0,11,39.303
93.642,133.628,0.998,0,12.254
83.173,123.451,0.995,6,11.063
95.872,165.409,1.0,0,16.845
86.834,83.245,0.91,7,7.675
88.72,169.687,1.0,7,17.563
87.385,122.127,0.994,0,10.918
90.0,203.975,1.0,6,24.183
76.487,136.906,0.998,0,12.667
79.375,165.614,1.0,0,16.879
97.138,178.293,1.0,0,19.081
109.71,129.159,0.997,9,11.715
95.154,187.099,1.0,7,20.734
72.483,180.762,1.0,0,19.534
94.022,131.105,0.997,0,11.946
89.689,160.49,1.0,7,16.048
84.211,146.35,0.999,0,13.934
90.034,208.726,1.0,9,25.221
91.525,252.481,1.0,7,36.165
81.756,148.497,1.0,0,14.238
77.582,153.965,1.0,6,15.04
98.992,129.583,0.997,0,11.765
83.696,157.79,1.0,0,15.624
79.77,138.046,0.999,7,12.814
99.645,220.659,1.0,0,27.959
120.083,120.935,0.993,6,10.789
96.644,223.289,1.0,0,28.587
89.424,107.996,0.981,0,9.511
90.431,153.363,1.0,6,14.95
89.089,101.312,0.97,0,8.937
87.027,206.847,1.0,7,24.807
80.461,142.277,0.999,0,13.373
75.237,150.928,1.0,7,14.59
94.323,172.143,1.0,0,17.986
